ranking,club name ,country,point score,1 year change,previous point scored,symbol change
2077,Limerick,Ireland,1251,0,1251,-
1656,Limón,Costa Rica,1284,78,1291,-
2122,Lincoln Red Imps FC,Gibraltar,1249,26,1250,-
547,Linfield,Northern Ireland,1424,134,1393,+
1693,Lion Blessé,Cameroon,1280,1,1280,-
149,Litex Lovech,Bulgaria,1573,5,1573,-
431,Liverpool,Uruguay,1452,133,1496,-
2,Liverpool FC,England,2043,12,1840,+
925,Livingston FC,Scotland,1355,147,1374,-
1064,Livorno,Italy,1339,5,1339,-
1959,Llandudno FC,Wales,1259,15,1259,-
1014,Llanelli,Wales,1345,4,1345,-
2593,Llaneros de Guanare,Venezuela,1208,17,1208,-
2094,LLB Académic,Burundi,1250,0,1250,-
835,Lobi Stars,Nigeria,1368,204,1404,-
762,Lobos B.U.A.P.,Mexico,1381,11,1381,-
1208,Lobos UPNFM,Honduras,1325,12,1325,-
2548,Łódzki KS,Poland,1216,16,1216,-
1541,Lokeren,Belgium,1292,29,1292,-
187,Lokomotiv Astana,Kazakhstan,1548,5,1551,-
1804,Lokomotiv Gorna Oryahovitsa,Bulgaria,1270,6,1270,-
1644,Lokomotiv Mezdra,Bulgaria,1285,7,1285,-
196,Lokomotiv Moskva,Russia,1544,96,1613,-
409,Lokomotiv Plovdiv,Bulgaria,1458,76,1486,-
598,Lokomotiv Tashkent,Uzbekistan,1412,68,1428,-
772,Lokomotiva,Croatia,1379,57,1367,+
1750,Lokomotivi Tbilisi,Georgia,1274,105,1285,-
2741,Longford Town,Ireland,1161,142,1209,-
2567,Lootus,Estonia,1213,17,1213,-
382,Lorient,France,1466,3,1466,-
435,Los Angeles FC,United States,1451,79,1474,-
2374,Lovćen,Montenegro,1232,32,1232,-
1543,LPTA Tozeur,Tunisia,1292,29,1292,-
1403,Lučko,Croatia,1303,0,1303,-
490,Lugano,Switzerland,1437,27,1430,+
490,Lugano,Switzerland,1437,27,1430,+
2399,Lumwana Radiants,Zambia,1230,142,1243,-
2661,Lupe ole Soaga,Samoa,1193,13,1193,-
2323,Lusaka Dynamos,Zambia,1235,161,1249,-
842,Luzern,Switzerland,1367,242,1410,-
2305,Lyn,Norway,1237,47,1237,-
2229,Lyngby,Denmark,1242,237,1256,-
47,Lyon,France,1699,16,1743,-
2259,Lys Sassandra,Ivory Coast,1241,63,1239,+
2627,Lyubimets,Bulgaria,1203,11,1203,-
1109,Ma Pau,Trinidad and Tobago,1334,4,1334,-
2639,Maardu Linnameeskond,Estonia,1199,13,1199,-
488,Macará,Ecuador,1437,172,1491,-
488,Macará,Ecuador,1437,172,1491,-
1758,Macarthur FC,Australia,1273,212,1257,+
2385,Maccabi Ahi Nazareth,Israel,1231,32,1231,-
138,Maccabi Haifa FC,Israel,1584,68,1538,+
699,Maccabi Netanya,Israel,1393,274,1350,+
1285,Maccabi Petah Tikva,Israel,1316,383,1357,-
111,Maccabi Tel Aviv,Israel,1606,21,1626,-
2512,Machine Sazi FC,Iran,1219,211,1241,-
2736,Mačva Šabac,Serbia,1166,1,1169,-
2508,Madang,Papua New Guinea,1220,22,1220,-
1329,Madura United,Indonesia,1311,82,1321,-
804,Maghreb Fès,Morocco,1374,195,1346,+
623,Mahindra United,India,1408,12,1408,-
76,Mainz,Germany,1654,17,1622,+
1687,Makedonija Gjorče Petrov,Macedonia,1281,287,1257,+
451,Málaga,Spain,1446,1,1446,-
451,Málaga,Spain,1446,1,1446,-
2320,Malampa Revivors FC,Vanuatu,1236,48,1236,-
1205,Malavan,Iran,1325,12,1325,-
2336,Malekesa,Congo DR,1234,44,1234,-
324,Mallorca,Spain,1485,130,1544,-
161,Malmö FF,Sweden,1564,41,1596,-
90,Mamelodi Sundowns FC,South Africa,1630,71,1563,+
1547,Managua FC,Nicaragua,1292,192,1276,+
3,Manchester City,England,2010,1,2049,-
24,Manchester United,England,1784,19,1923,-
1850,Manica Diamonds,Zimbabwe,1267,247,1250,+
1272,Maniema Union,Congo DR,1318,384,1284,+
1275,Manisaspor,Turkey,1318,4,1318,-
2288,Mansheyat Bani Hasan,Jordan,1238,44,1238,-
1053,Manta,Ecuador,1340,55,1346,-
2418,Manu Ura,Tahiti,1228,24,1228,-
830,Marathón,Honduras,1369,119,1388,-
2087,Marek Dupnitsa,Bulgaria,1251,1,1251,-
210,Maribor,Slovenia,1540,18,1546,-
2214,Marist,Solomon Islands,1243,40,1243,-
1401,Maritzburg United,South Africa,1303,203,1325,-
53,Marseille,France,1687,45,1613,+
1347,Marumo Gallants FC,South Africa,1308,340,1281,+
2183,Mash'al Muborak,Uzbekistan,1245,225,1258,-
977,Masvingo United,Zimbabwe,1350,2,1350,-
2382,Matiti Mabe,Congo DR,1231,31,1231,-
1700,Matsumoto Yamaga,Japan,1280,0,1280,-
1348,Mattersburg,Austria,1308,7,1308,-
2279,Maverly Hughenden FC,Jamaica,1240,41,1240,-
2646,Mayagüez,Puerto Rico,1198,10,1198,-
810,Mazatlán FC,Mexico,1373,65,1382,-
2217,Mbabane Swallows,Sudan,1243,39,1243,-
544,MC Alger,Algeria,1424,63,1409,+
979,MC El Eulma,Algeria,1349,0,1349,-
879,MC Oran,Algeria,1362,202,1394,-
991,MCO Oujda,Morocco,1347,46,1352,-
915,Medeama SC,Ghana,1356,88,1367,-
1886,Medimurje,Croatia,1264,10,1264,-
691,Melbourne City FC,Australia,1394,126,1369,+
1389,Melbourne Victory,Australia,1304,27,1307,-
921,Melipilla,Chile,1355,103,1344,+
2727,Merani Martvili,Georgia,1172,2,1172,-
2365,Merikh Kosti,Sudan,1233,34,1233,-
1424,Merreikh El-Fasher,Sudan,1301,2,1301,-
2056,Merreikh Nyala,Sudan,1253,6,1253,-
1787,Mersin İdmanyurdu,Turkey,1271,2,1271,-
985,Mes Kerman,Iran,1348,0,1348,-
952,Mes Rafsanjan,Iran,1352,289,1321,+
2299,Meshki Pooshan Football Club,Iran,1238,45,1238,-
1189,Metalist 1925 Kharkiv,Ukraine,1326,234,1350,-
501,Metalist Kharkiv,Ukraine,1434,6,1434,-
2133,Metalleghe BSI,Bosnia and Herzegovina,1248,40,1248,-
1737,Metallurg Bekobod,Uzbekistan,1276,305,1301,-
510,Metalurh Donetsk,Ukraine,1432,9,1432,-
2757,Metalurh Zaporizhya,Ukraine,1130,2,1130,-
1436,Metropolitanos FC,Venezuela,1301,717,1250,+
555,Metz,France,1422,284,1506,-
1006,Mezőkövesd-Zsóry,Hungary,1345,83,1354,-
1549,MFK Karviná,Czech Republic,1291,288,1318,-
1645,MFK Tatran Liptovský Mikuláš,Slovakia,1285,206,1300,-
1250,MFM FC,Nigeria,1320,107,1330,-
1636,Mictlán,Guatemala,1285,12,1285,-
465,Middlesbrough,England,1443,4,1443,-
465,Middlesbrough,England,1443,4,1443,-
1720,Miedź Legnica,Poland,1277,4,1277,-
2083,Mighty Jets,Ghana,1251,1,1251,-
133,Millonarios,Colombia,1587,58,1546,+
1132,Mineros de Guayana,Venezuela,1331,255,1360,-
779,Minnesota United,United States,1377,97,1360,+
1407,Minyor Pernik,Bulgaria,1302,1,1302,-
2109,Miramar Misiones,Uruguay,1250,42,1250,-
1292,Misr El Makasa,Egypt,1316,532,1378,-
2150,Mitra Kukar,Indonesia,1247,42,1247,-
759,Mjällby AIF,Sweden,1382,270,1344,+
2208,Mjøndalen IF,Norway,1244,34,1248,-
590,Mladá Boleslav,Czech Republic,1414,130,1386,+
2021,Mladi Radnik,Serbia,1255,5,1255,-
2698,Mladost CD,Macedonia,1183,9,1183,-
2457,Mladost Velika,Bosnia and Herzegovina,1224,24,1224,-
1504,MO Béjaia,Algeria,1296,20,1296,-
1098,Moghreb Tétouan,Morocco,1336,94,1346,-
2038,Mogren,Montenegro,1254,10,1254,-
1852,Mohammedan SC,India,1267,180,1254,+
574,Mohun Bagan,India,1417,1,1417,-
2573,MOIK,Azerbaijan,1212,16,1212,-
338,MOL Fehérvár FC,Hungary,1480,110,1529,-
146,Molde FK,Norway,1577,21,1590,-
1713,Molinos El Pirata FC,Peru,1278,0,1278,-
2147,Molunge,Congo DR,1247,42,1247,-
2515,Molynes United FC,Jamaica,1219,176,1238,-
60,Monaco,France,1680,22,1722,-
1307,Monagas SC,Venezuela,1313,320,1287,+
1299,Monaghan United,Ireland,1315,8,1315,-
315,Monarcas Morelia,Mexico,1488,8,1488,-
936,Monomatapa United,Zimbabwe,1353,3,1353,-
1337,Mons,Belgium,1310,7,1310,-
2239,Mont Bleu,Denmark,1242,36,1242,-
2549,Mont-Dore,New Caledonia,1215,19,1215,-
2478,Montana,Bulgaria,1223,87,1216,+
2367,Montedio Yamagata,Japan,1232,34,1232,-
2381,Montego Bay United,Jamaica,1231,341,1253,-
128,Monterrey,Mexico,1592,36,1561,+
479,Montevideo Wanderers,Uruguay,1439,361,1366,+
479,Montevideo Wanderers,Uruguay,1439,361,1366,+
188,Montpellier,France,1548,35,1568,-
2254,Moossou FC,Ivory Coast,1241,39,1241,-
1065,Mordovia Saransk,Russia,1339,5,1339,-
752,Moreirense,Portugal,1384,360,1463,-
2715,Mornar,Montenegro,1178,26,1164,+
2416,Morobe Wawens,Papua New Guinea,1229,23,1229,-
1334,Moroka Swallows,South Africa,1310,352,1349,-
580,Moskva,Russia,1416,4,1416,-
413,Motagua,Honduras,1458,165,1520,-
516,Motema Pembe,Congo DR,1431,38,1440,-
1123,Motherwell,Scotland,1332,113,1345,-
689,Motor Action,Zimbabwe,1394,19,1394,-
1315,Mount Pleasant FC,Jamaica,1312,155,1300,+
882,Mouscron-Péruwelz,Belgium,1361,13,1361,-
577,MP Antalyaspor,Turkey,1416,137,1387,+
2199,MSP Batna,Algeria,1244,41,1244,-
1385,MTK Budapest,Hungary,1304,434,1351,-
2610,Muaither SC,Qatar,1206,16,1206,-
452,Muangthong United,Thailand,1445,2,1446,-
452,Muangthong United,Thailand,1445,2,1446,-
1895,Mufulira Wanderers,Zambia,1264,12,1264,-
1782,Muğan,Azerbaijan,1271,0,1271,-
2280,Mumbai City FC,India,1240,41,1240,-
2018,Mumbai FC,India,1255,5,1255,-
2019,Municipal Limeño,El Salvador,1255,591,1301,-
591,Mura 05,Slovenia,1414,54,1400,+
727,Mushuc Runa SC,Ecuador,1388,138,1362,+
2233,Muungano,Congo DR,1242,33,1242,-
1141,MyPa,Finland,1330,2,1330,-
1499,MZKS Arka Gdynia,Poland,1296,20,1296,-
1588,NA Hussein Dey,Algeria,1288,119,1300,-
1475,NAC Breda,Netherlands,1298,19,1298,-
240,Nacional,Uruguay,1526,27,1535,-
1847,Nacional,Portugal,1268,139,1279,-
642,Nacional Asunción,Paraguay,1404,329,1492,-
2405,Nacional de Benguela,Angola,1230,27,1230,-
757,Nacional Potosí,Bolivia,1382,123,1403,-
2594,Nadi,Fiji,1208,17,1208,-
1914,Naft Masjed Soleyman FC,Iran,1262,574,1310,-
931,Naft Tehran,Iran,1354,9,1354,-
2008,Nafta,Slovenia,1255,7,1255,-
2542,Naftan Novopolotsk,Belarus,1216,17,1216,-
376,Nagoya Grampus Eight,Japan,1467,63,1450,+
1960,Najran SC,Saudi Arabia,1259,14,1259,-
2497,Nakambala Leopards,Zambia,1221,22,1221,-
2284,Nakhon Pathom,Thailand,1239,43,1239,-
1576,Nakhon Ratchasima FC,Thailand,1289,13,1292,-
1862,Nalkutan FC,Vanuatu,1266,14,1266,-
482,Nancy,France,1439,2,1439,-
482,Nancy,France,1439,2,1439,-
132,Nantes,France,1588,205,1483,+
1060,Napredak,Serbia,1340,70,1347,-
2675,Napredok,Macedonia,1190,12,1190,-
2369,NAPSA Stars FC,Zambia,1232,181,1248,-
1012,Narva Trans,Estonia,1345,154,1364,-
460,Nasaf Qarshi,Uzbekistan,1444,14,1441,+
460,Nasaf Qarshi,Uzbekistan,1444,14,1441,+
775,Nasarawa United,Nigeria,1378,115,1359,+
563,Nashville SC,United States,1421,292,1365,+
1026,Nassaji Mazandaran,Iran,1344,163,1325,+
2689,National Assembly,Zambia,1186,9,1186,-
1165,National Bank,Egypt,1328,470,1286,+
1302,Náutico,Brazil,1314,9,1314,-
1090,Naval 1º de Maio,Portugal,1337,4,1337,-
1572,Navbahor Namangan,Uzbekistan,1290,212,1271,+
1220,NC Magra,Algeria,1324,722,1259,+
1875,Nchanga Rangers,Zambia,1265,15,1265,-
2347,ND Triglav,Slovenia,1233,41,1233,-
2377,Ndjadi,Congo DR,1232,32,1232,-
2266,Ndoki ya Ndombe,Congo DR,1241,38,1241,-
1063,Nea Salamis,Cyprus,1339,3,1340,-
288,Neath Athletic,Wales,1501,3,1501,-
610,NEC Nijmegen,Netherlands,1410,164,1375,+
534,Necaxa,Mexico,1427,53,1439,-
1526,Necaxa,Honduras,1293,25,1293,-
2354,Neftchi,Uzbekistan,1233,11,1238,-
351,Neftçi,Azerbaijan,1475,22,1468,+
1990,Neftochimic Burgas 1962,Bulgaria,1257,12,1257,-
858,Nejmeh SC,Lebanon,1366,12,1366,-
767,Neman Grodno,Belarus,1380,90,1364,+
2111,Nembe City FC,Nigeria,1250,41,1250,-
1368,Neuchâtel Xamax,Switzerland,1305,6,1305,-
2729,Nevėžis Kėdainiai,Lithuania,1171,288,1228,-
1405,New Edubiase FC,Ghana,1302,0,1302,-
467,New England Revolution,United States,1442,348,1369,+
467,New England Revolution,United States,1442,348,1369,+
1043,New Soger,Congo DR,1342,7,1342,-
1769,New Star de Douala,Cameroon,1272,460,1314,-
420,New York City FC,United States,1456,63,1438,+
592,New York Red Bulls,United States,1413,116,1389,+
96,Newcastle United,England,1623,35,1586,+
1793,Newcastle United Jets,Australia,1271,52,1266,+
347,Newell's Old Boys,Argentina,1476,129,1534,-
2682,Newry City AFC,Northern Ireland,1189,9,1189,-
910,Newtown,Wales,1357,123,1343,+
1925,Ngezi Platinum FC,Zimbabwe,1261,172,1250,+
83,Nice,France,1637,119,1540,+
1935,NIGELEC,Niger,1261,11,1261,-
1197,Niger Tornadoes,Nigeria,1326,66,1332,-
2735,Niki Volou,Greece,1166,3,1166,-
445,Nîmes Olympique,France,1447,60,1432,+
2704,Nistru,Moldova,1181,7,1181,-
2428,Nitra,Slovakia,1227,343,1251,-
1774,Njala Quan,Cameroon,1272,2,1272,-
1962,Njube Sundowns,Zimbabwe,1259,14,1259,-
667,NK Bravo,Slovenia,1398,99,1376,+
640,NK Celje,Slovenia,1404,22,1406,-
2292,NK Istra 1961,Croatia,1238,155,1228,+
1597,NK Krka,Slovenia,1288,21,1288,-
2274,NK Krsko,Slovenia,1240,38,1240,-
2447,NK Rudeš,Croatia,1225,24,1225,-
1088,NK Tabor Sežana,Slovenia,1337,229,1364,-
2321,NK Varaždin,Croatia,1236,48,1235,+
1880,NK Zadar,Croatia,1265,10,1265,-
2250,NK Zagreb,Croatia,1241,37,1241,-
2529,NK Zvijezda Gradacac,Bosnia and Herzegovina,1218,21,1218,-
1556,Nkana FC,Zambia,1291,323,1264,+
2384,Nkoy,Congo DR,1231,31,1231,-
2027,Nkoyi Bilombe,Denmark,1254,4,1254,-
2010,Nkwazi,Zambia,1255,4,1255,-
2673,Noah Jūrmala,Latvia,1190,403,1242,-
1851,Nogoom FC,Egypt,1267,16,1267,-
144,Nomme JK Kalju,Estonia,1579,27,1601,-
1740,Nong Bua Pitchaya FC,Thailand,1276,358,1250,+
2102,Nord Sport,Denmark,1250,45,1250,-
958,Nordsjælland,Denmark,1352,342,1406,-
2130,North Eastern Re Organising Cultural Association,India,1248,138,1242,+
2526,North Queensland Fury,Australia,1218,22,1218,-
2258,Northeast United FC,India,1241,39,1241,-
682,Norwich City,England,1395,222,1357,+
419,Novara,Italy,1456,7,1456,-
1835,Novi Pazar,Serbia,1268,208,1253,+
638,NŠ Mura,Slovenia,1405,11,1405,-
553,Ñublense,Chile,1422,377,1354,+
446,Nueva Chicago,Argentina,1447,2,1447,-
525,Nueve de Octubre,Ecuador,1429,402,1354,+
710,Nürnberg,Germany,1391,18,1391,-
1883,Nyíregyháza Spartacus,Hungary,1264,10,1264,-
675,O'Higgins,Chile,1396,182,1435,-
2737,Obod,Uzbekistan,1165,2,1165,-
1591,Obolon',Ukraine,1288,22,1288,-
1702,Ocean Boys FC,Nigeria,1280,1,1280,-
1999,Ocean Pacifique,Denmark,1256,4,1256,-
1253,OCK Khouribga,Morocco,1320,127,1305,+
891,Odds Ballklubb,Norway,1359,163,1385,-
1023,Odense Boldklub,Denmark,1344,98,1354,-
1823,Odra Wodzisław,Poland,1269,8,1269,-
1808,Oestersunds FK,Sweden,1270,892,1356,-
2469,Office Niger Sports,Mali,1223,25,1223,-
814,OFI Crete,Greece,1372,610,1301,+
1754,OFK Beograd,Serbia,1274,3,1274,-
1435,OFK Titograd,Montenegro,1301,77,1297,+
1416,OFTA FC,Cameroon,1302,23,1300,+
2455,Ohod Saudi FC,Saudi Arabia,1224,24,1224,-
1366,Oita Trinita,Japan,1306,21,1304,+
2025,Okzhetpes Kokshetau,Kazakhstan,1254,5,1254,-
493,Oleksandriya,Ukraine,1436,35,1444,-
493,Oleksandriya,Ukraine,1436,35,1444,-
1158,Olhanense,Portugal,1329,3,1329,-
202,Olimpia,Honduras,1543,31,1555,-
292,Olimpia,Paraguay,1500,173,1597,-
329,Olimpija Ljubljana,Slovenia,1482,115,1535,-
1386,Olimpik Donetsk,Ukraine,1304,206,1326,-
2352,Olimpik Sarajevo,Bosnia and Herzegovina,1233,103,1244,-
992,Olimpo,Argentina,1347,3,1347,-
43,Olympiakos,Greece,1711,4,1721,-
1134,Olympiakos Nicosia,Cyprus,1331,49,1326,+
416,Olympiakos Volos,Greece,1457,9,1457,-
2095,Olympic Club,Congo DR,1250,0,1250,-
1257,Olympic Club de Safi,Morocco,1319,206,1342,-
1515,Olympic El Qanah FC,Egypt,1295,23,1295,-
1918,Olympic Niamey,Niger,1262,12,1262,-
1422,Olympique Béja,Tunisia,1301,116,1295,+
571,Olympique de Bamako,Mali,1419,1,1419,-
1616,Olympique de Medea,Algeria,1286,503,1334,-
2187,Olympique de Missira,Mali,1245,44,1245,-
1921,Olympique du Kef,Tunisia,1262,11,1262,-
1110,Omiya Ardija,Japan,1334,2,1334,-
250,Omonia Nicosia,Cyprus,1521,103,1572,-
540,Once Caldas,Colombia,1426,70,1442,-
1660,Once Municipal,El Salvador,1283,152,1269,+
2081,ONGC FC,India,1251,1,1251,-
1593,Onze Créateurs,Mali,1288,22,1288,-
2506,Opava,Czech Republic,1220,90,1231,-
603,Ordabasy Shymkent,Kazakhstan,1411,91,1430,-
1206,Orduspor,Turkey,1325,12,1325,-
1626,Örebro,Sweden,1286,581,1342,-
853,Orense SC,Ecuador,1366,381,1322,+
1696,Örgryte,Sweden,1280,1,1280,-
728,Oriente Petrolero,Bolivia,1388,310,1343,+
2516,Orión,Costa Rica,1218,24,1218,-
973,Orlando City,United States,1350,91,1340,+
428,Orlando Pirates,South Africa,1453,71,1474,-
94,Osasuna,Spain,1625,8,1630,-
171,Osijek,Croatia,1558,27,1541,+
809,Osmanlıspor FK,Turkey,1373,23,1373,-
1590,Öster,Sweden,1288,22,1288,-
1127,Oţelul Galaţi,Romania,1332,0,1332,-
1705,Othellos Athienou FC,Cyprus,1279,1,1279,-
884,Oud-Heverlee Leuven,Belgium,1361,2,1359,+
2269,Ouragahio,Ivory Coast,1240,38,1240,-
2218,PA Sambizanga,Angola,1243,165,1252,-
1452,Pacífico,Peru,1299,25,1299,-
442,Paços de Ferreira,Portugal,1448,62,1465,-
1293,Padideh F.C.,Iran,1316,549,1382,-
1956,PAEEK,Cyprus,1260,517,1300,-
2716,Paernu Linnameeskond,Estonia,1177,2,1177,-
497,Pafos FC,Cyprus,1434,210,1389,+
497,Pafos FC,Cyprus,1434,210,1389,+
377,Paide Linnameeskond,Estonia,1467,65,1449,+
219,Pakhtakor Tashkent,Uzbekistan,1536,11,1537,-
664,Paksi SE,Hungary,1398,20,1393,+
670,Palermo,Italy,1397,7,1397,-
701,Palestino,Chile,1393,170,1428,-
26,Palmeiras,Brazil,1775,24,1699,+
239,Panathinaikos,Greece,1526,36,1540,-
820,Pandurii Târgu Jiu,Romania,1370,13,1370,-
1335,Panetolikos,Greece,1310,51,1304,+
1196,Panionios,Greece,1326,10,1326,-
1689,Panserraikos,Greece,1281,1,1281,-
1375,Panthère,Cameroon,1305,251,1332,-
2050,Panthrakikos Komotini,Greece,1253,6,1253,-
84,PAOK FC,Greece,1637,7,1624,+
2631,Pápa,Hungary,1202,11,1202,-
2170,Papua New Guinea U20,Papua New Guinea,1246,45,1246,-
713,Paradou AC,Algeria,1391,9,1386,+
789,Paraná Clube,Brazil,1376,20,1376,-
12,Paris Saint-Germain,France,1841,5,1895,-
744,Parma Calcio 1913,Italy,1385,173,1419,-
2750,Pärnu JK Vaprus,Estonia,1152,38,1180,-
1919,Parrillas One,Honduras,1262,11,1262,-
1214,Pars Jonoubi Jam,Iran,1324,9,1324,-
1746,Partick Thistle,Scotland,1275,4,1275,-
66,Partizan Beograd,Serbia,1668,18,1635,+
2264,Partizan Minsk,Belarus,1241,38,1241,-
2065,Partizani Tirana,Albania,1252,0,1252,-
697,PAS Giannina,Greece,1393,294,1347,+
1589,Pas Hamedan,Iran,1288,22,1288,-
2419,Pasaquina F.C.,El Salvador,1228,24,1228,-
1130,Patriotas Boyacá,Colombia,1331,81,1342,-
476,Patronato de Parana,Argentina,1440,48,1452,-
476,Patronato de Parana,Argentina,1440,48,1452,-
1481,Pattaya United,Thailand,1298,18,1298,-
948,Paykan F.C.,Iran,1353,220,1328,+
998,PEC Zwolle,Netherlands,1346,506,1435,-
1225,Pécsi MFC,Hungary,1323,7,1323,-
2616,Pelister,Macedonia,1204,257,1236,-
2149,Pelita Bandung Raya,Indonesia,1247,42,1247,-
1479,Penafiel,Portugal,1298,18,1298,-
168,Peñarol,Uruguay,1561,23,1572,-
1642,Penybont FC,Wales,1285,128,1272,+
1117,Pérez Zeledón,Costa Rica,1333,23,1331,+
1146,Persebaya Surabaya,Indonesia,1330,404,1294,+
2480,Persela Lamongan,Indonesia,1222,563,1261,-
2055,Persema Malang,Indonesia,1253,7,1253,-
106,Persepolis,Iran,1611,5,1612,-
2311,Perseru Badak Lampung,Indonesia,1237,47,1237,-
755,Persib Bandung,Indonesia,1383,177,1353,+
1888,Persiba Balikpapan,Indonesia,1264,10,1264,-
1399,Persidafon,Indonesia,1303,3,1303,-
888,Persija Jakarta,Indonesia,1360,112,1375,-
2200,Persijap Jepara,Indonesia,1244,41,1244,-
2190,Persik Kediri,Indonesia,1245,90,1242,+
2085,Persikabo 1973 (INA),Indonesia,1251,208,1241,+
786,Persipura Jayapura,Indonesia,1376,148,1403,-
2654,Persiraja Aceh,Indonesia,1195,631,1254,-
2107,Persiram Raja Ampat,Indonesia,1250,42,1250,-
2173,Persita Tangerang,Indonesia,1246,2,1248,-
2433,Persitara Jakarta,Indonesia,1226,26,1226,-
1790,Persiwa Wamena,Indonesia,1271,3,1271,-
1411,Perth Glory,Australia,1302,199,1323,-
1454,Pescara,Italy,1299,27,1299,-
2179,Petro Souths,Papua New Guinea,1245,44,1245,-
1298,Petrojet,Egypt,1315,2,1315,-
1166,Petrolul Ploieşti,Romania,1328,5,1328,-
1827,Petrovac,Montenegro,1268,169,1256,+
1972,Petržalka,Slovakia,1259,17,1259,-
153,PFC CSKA Sofia,Bulgaria,1569,14,1579,-
651,PFC Lokomotiv Sofia 1929,Bulgaria,1400,232,1455,-
100,PFC Ludogorets 1945 Razgrad,Bulgaria,1620,27,1649,-
234,PFC Sochi,Russia,1530,90,1488,+
1317,Pharco FC,Egypt,1312,122,1300,+
439,Philadelphia Union,United States,1449,35,1458,-
537,Piast Gliwice,Poland,1426,71,1442,-
1974,Pirae,Syria,1259,142,1268,-
1213,Pirin Blagoevgrad,Bulgaria,1324,198,1302,+
2426,Pirin Gotse Delchev,Bulgaria,1227,26,1227,-
2390,PK-35 Vantaa,Finland,1231,31,1231,-
2159,Platanias,Greece,1247,39,1247,-
454,Plateau United,Nigeria,1445,95,1424,+
454,Plateau United,Nigeria,1445,95,1424,+
2353,Platense,Honduras,1233,809,1294,-
1264,Platinum Stars,South Africa,1319,6,1319,-
421,Plaza Colonia,Uruguay,1456,180,1410,+
2699,Pobeda,Macedonia,1183,9,1183,-
1874,Podbeskidzie Bielsko-Biala,Poland,1265,74,1270,-
1853,Podbrezová,Slovakia,1267,16,1267,-
359,Pogoń Szczecin,Poland,1472,182,1426,+
342,Pohang Steelers,South Korea,1477,31,1493,-
2215,Point Fortin FC,Trinidad and Tobago,1243,40,1243,-
2717,Police,Trinidad and Tobago,1177,2,1177,-
2488,Police FC,Niger,1222,25,1222,-
1520,Police Tero FC,Thailand,1294,85,1289,+
1982,Police United FC,Thailand,1258,17,1258,-
1752,Politehnica Iaşi,Romania,1274,3,1274,-
1511,Polokwane City,South Africa,1295,19,1295,-
1667,Polonia Bytom,Poland,1283,4,1283,-
720,Polonia Warszawa,Poland,1390,18,1390,-
434,Ponte Preta,Brazil,1451,2,1451,-
2481,Porcelana FC,Angola,1222,25,1222,-
705,Port F.C.,Thailand,1392,10,1391,+
942,Port Talbot,Wales,1353,8,1353,-
2660,Portadown FC,Northern Ireland,1193,193,1225,-
2446,Porthmadog,Wales,1225,23,1225,-
745,Portimonense,Portugal,1385,203,1425,-
575,Portland Timbers,United States,1417,63,1430,-
1270,Portmore United FC,Jamaica,1318,141,1332,-
529,Portsmouth,England,1428,0,1428,-
178,Portuguesa,Brazil,1554,5,1554,-
1991,Portuguesa FC,Venezuela,1257,547,1219,+
1135,Power Dynamos,Zambia,1331,124,1345,-
1717,Prachuap FC,Thailand,1278,21,1280,-
2319,Prestatyn Town FC,Wales,1236,48,1236,-
1596,Pretoria University,South Africa,1288,21,1288,-
1970,Příbram,Czech Republic,1259,105,1252,+
1857,Primorje,Slovenia,1267,17,1267,-
1954,Prison Leopards,Zambia,1260,34,1256,+
1929,Progresso Associação do Sambizanga,Angola,1261,265,1284,-
1735,Progresso da Lunda Sul,Angola,1276,3,1276,-
2460,PS Kemi,Finland,1224,25,1224,-
1775,PSIS,Indonesia,1272,71,1266,+
1414,PSM Makassar,Indonesia,1302,206,1324,-
2290,PSMS,Indonesia,1238,46,1238,-
1908,PSPS Pekanbaru,Indonesia,1263,10,1263,-
1938,PSS Sleman,Indonesia,1260,73,1265,-
37,PSV Eindhoven,Netherlands,1745,8,1708,+
2530,PTT Rayong FC,Thailand,1217,21,1217,-
2375,Puaikura,Cook Islands,1232,33,1232,-
1410,Puerto Rico Islanders,Puerto Rico,1302,2,1302,-
2670,Puerto Rico United,Puerto Rico,1191,13,1191,-
289,Pumas UNAM,Mexico,1501,27,1513,-
704,Pune FC,India,1392,17,1392,-
1794,Punjab Football Club,India,1271,59,1266,+
1859,Puntarenas FC,Costa Rica,1266,15,1266,-
1185,Pusamania Borneo FC,Indonesia,1326,99,1316,+
504,Puskás FC,Hungary,1434,117,1405,+
862,Pwd Bamenda,Cameroon,1365,191,1341,+
314,Pyramids FC,Egypt,1489,81,1460,+
788,Qäbälä,Azerbaijan,1376,0,1372,+
165,Qarabağ,Azerbaijan,1563,32,1541,+
1352,Qatar SC,Qatar,1308,80,1318,-
2544,Qingdao FC,China PR,1216,1074,1300,-
1566,Qingdao Jonoon,China PR,1290,26,1290,-
2232,Qizilqum Zarafshon,Uzbekistan,1242,272,1222,+
443,Queens Park Rangers,England,1448,2,1448,-
2519,Quelaton,Zimbabwe,1218,24,1218,-
629,Querétaro,Mexico,1406,77,1423,-
902,Quilmes,Argentina,1358,4,1358,-
1640,R.F.C. Seraing,Belgium,1285,684,1350,-
1635,Rabotnički,Macedonia,1285,52,1291,-
2550,Racing Beirut,Lebanon,1215,19,1215,-
